age,genre,genre_autre,niveau_etude,ville,ville_autre,quartier,logement,climatisation,vagues_intenses,conseq_sante,menace_env,vulnerable,logement_protection,crainte_futur,parcs_efficace,eau_publique,arbres_inutile,trouver_endroits_frais,difficile_comportements,acces_parcs,transport_chaud,valoriser_espaces_verts,soutenir_politiques,prefere_interieur,contre_reduction_voiture,espaces_agreables,proteger_acces_eau,municipalite_responsable,intention_frequent_parcs,intention_soutenir_initiatives,pas_intention_s_informer,intention_comportements_eco,pas_intention_transport_actif,motivation_si_municipalite,freq_parcs,freq_parcs_na,activite_verdissement,activite_verdissement_na,petition_contact,petition_contact_na,reduire_eau,reduire_eau_na,transport_alternatif,transport_alternatif_na,compost,compost_na,refroidissement_passif,refroidissement_passif_na,commentaires,id
35-49,femme,,universitaire,Trois-Rivières,,centre_dense,app_petit,oui,5,3,2,2,2.0,5,3,5,5,5,5,1,1,5,5,2,5,5,5,2,2,2,4.0,5,2,5,2,,1,,1,,5,,3,,5,,2,,,a41f4ac4-59e1-4fd9-a875-ef693f9b380d
18-24,homme,,universitaire,Trois-Rivières,,res_moderate,maison_uni,oui,4,3,2,2,1.0,2,5,3,5,3,2,4,4,5,5,3,1,5,4,3,2,5,4.0,4,4,4,2,,1,,3,,4,,4,,5,,1,,,77fea50f-a68e-4475-9412-41ec10e40733
25-34,femme,,secondaire,Trois-Rivières,,urbain_dense,app_petit,oui,5,5,1,4,4.0,5,3,4,5,2,3,2,1,5,5,2,3,5,5,4,5,5,1.0,5,4,3,4,,3,,2,,3,,5,,3,,3,,,d5df215f-9754-46fd-b19b-b7f09912b59f
18-24,homme,,universitaire,Trois-Rivières,,urbain_dense,app_petit,oui,5,4,2,4,2.0,4,3,5,5,5,4,3,1,5,5,1,3,4,4,3,3,4,4.0,4,3,4,3,,1,,1,,5,,4,,1,,4,,,393ee825-b0a9-4118-97a9-bb3e7b97a989
18-24,femme,,universitaire,autre,Québec,urbain_dense,app_petit,non,5,5,4,2,3.0,4,5,5,5,4,3,5,3,5,5,3,5,5,5,3,5,5,5.0,5,5,5,5,,2,,3,,5,,5,,5,,5,,,f342461f-354e-4b97-b2ee-03395a85c03b
18-24,homme,,universitaire,autre,Notre-Dame du Mont-Carmel,banlieue,maison_uni,oui,4,3,4,1,2.0,2,2,2,5,4,2,4,3,4,4,1,2,5,4,5,2,3,2.0,3,1,5,1,,1,,1,,2,,1,,3,,2,,,84271923-1e8d-46d1-94f3-d889d40e6cc1
18-24,homme,,universitaire,Trois-Rivières,,urbain_dense,app_grand,non,5,4,3,5,5.0,1,3,3,5,4,2,2,1,5,5,3,5,5,5,4,3,4,3.0,4,2,5,3,,1,,1,,3,,1,,1,,5,,,df55e452-4b9f-4872-b3d8-937dcbe7a370
25-34,femme,,universitaire,Trois-Rivières,,centre_dense,app_petit,non,4,3,1,4,5.0,4,4,,5,2,2,3,1,5,5,3,5,5,5,4,4,5,2.0,4,2,4,4,,1,,1,,3,,2,,2,,4,,,789631f6-239a-4181-a3ba-5bf502fbe698
35-49,homme,,universitaire,autre,Québec,res_moderate,app_petit,oui,4,4,2,3,1.0,4,1,4,5,5,4,4,3,5,5,1,5,5,5,3,3,5,3.0,,4,3,2,,1,,1,,1,,1,,5,,1,,,dd82740e-6537-44ce-a81d-2f39ea3fd423
25-34,femme,,universitaire,Trois-Rivières,,res_moderate,app_grand,non,5,3,2,5,3.0,4,4,3,5,4,3,4,3,5,5,2,4,5,5,4,4,4,4.0,4,2,4,4,,1,,1,,4,,1,,1,,1,,,8e29cdf9-93ab-419a-9a3b-a76fb7faceaf
25-34,femme,,universitaire,Montréal,,urbain_dense,app_petit,non,5,4,5,4,5.0,5,3,4,5,4,2,4,4,5,5,2,4,5,5,5,4,5,5.0,4,4,4,3,,3,,2,,3,,5,,5,,3,,,de070920-7585-4090-be8c-ebdcfa79c836
25-34,homme,,secondaire,Montréal,,urbain_dense,app_petit,non,5,5,4,5,3.0,4,3,3,5,4,3,4,4,5,5,1,5,5,5,4,5,4,3.0,5,5,4,4,,1,,1,,3,,5,,2,,5,,,d067969b-0fb3-4cfa-80d8-144ad9b726a0
25-34,homme,,secondaire,Trois-Rivières,,centre_dense,app_petit,oui,5,4,2,4,2.0,3,5,5,5,4,3,5,2,5,5,3,4,5,4,5,5,5,4.0,4,3,4,5,,3,,4,,4,,4,,4,,3,,,d4ca6a53-db4d-44d1-a72c-ca338b5577a0
18-24,femme,,universitaire,autre,Drummondville ,res_moderate,maison_uni,oui,5,3,3,5,1.0,3,5,5,5,5,3,5,4,5,5,3,2,5,5,3,2,5,5.0,5,5,3,5,,1,,3,,5,,1,,5,,1,,,2f7149ec-29f2-4fba-8b68-08cc1bc0a6fd
,homme,,universitaire,Montréal,,res_moderate,maison_rangee,oui,5,4,4,3,2.0,4,5,4,5,4,3,5,4,5,4,3,5,5,5,2,4,4,4.0,5,4,4,4,,3,,3,,4,,4,,5,,4,,,7215317b-e93e-49c1-b1d1-84b193fcf599
25-34,femme,,universitaire,autre,Quebec,centre_dense,app_petit,non,5,4,1,3,4.0,4,5,4,5,3,4,4,5,5,5,3,4,5,5,3,4,5,4.0,5,5,4,5,,2,,1,,4,,5,,5,,4,,,b2df998b-46de-42e0-b098-f77d26f509ea
25-34,femme,,universitaire,Montréal,,urbain_dense,maison_rangee,oui,4,3,1,2,4.0,5,3,5,5,2,3,4,1,5,5,1,5,5,5,5,1,1,1.0,2,2,5,3,,1,,1,,1,,5,,2,,1,,,39a0887c-1f96-4b96-9ec5-85a5f31c5782
50-64,femme,,universitaire,Montréal,,urbain_dense,app_petit,non,4,5,2,4,4.0,4,5,5,5,4,4,4,4,5,5,3,5,5,5,2,4,5,5.0,5,5,5,3,,2,,1,,4,,5,,5,,3,,,c7da89e8-f4a0-4d91-ba18-d044648c6ad3
25-34,femme,,universitaire,autre,Rigaud,banlieue,maison_uni,oui,4,3,4,2,1.0,3,3,4,5,5,4,4,4,5,5,3,3,5,5,4,4,4,3.0,4,2,3,4,,2,,1,,3,,2,,4,,3,,,82dd7b5e-8275-4b2d-90ce-8d0067724210
,homme,,universitaire,Trois-Rivières,,urbain_dense,app_petit,non,5,3,1,4,3.0,4,5,5,5,5,4,5,4,5,4,4,3,4,5,4,5,4,5.0,4,4,4,3,,1,,1,,2,,3,,1,,2,,,45bd3fbc-73b9-4834-9779-2d88f01506ef
25-34,femme,,universitaire,autre,Sainte-Martine,banlieue,maison_uni,oui,5,4,4,4,1.0,5,2,4,5,3,4,4,3,5,5,3,4,4,4,4,4,4,4.0,5,4,4,3,,5,,4,,4,,4,,5,,3,,,9ca6ec48-ce63-484e-9162-af285dfe4945
65+,femme,,secondaire,Trois-Rivières,,urbain_dense,app_grand,non,3,2,4,4,4.0,5,5,5,5,4,2,5,5,5,5,1,1,5,5,2,3,4,5.0,5,5,5,4,,1,,3,,3,,5,,1,,5,,,87fc14c4-03b2-4757-94eb-27bc979e9c5d
25-34,femme,,universitaire,autre,Québec,urbain_dense,app_petit,non,4,3,2,2,3.0,4,4,5,5,5,4,4,4,5,5,3,5,5,5,4,4,4,4.0,5,4,3,3,,1,,1,,5,,4,,5,,5,,,45b52f2e-b569-431f-b366-74aac22d8eee
35-49,femme,,universitaire,autre,Shawinigan,banlieue,maison_uni,oui,5,3,1,3,1.0,5,5,4,5,5,5,1,5,5,5,1,5,5,5,3,5,5,5.0,5,5,5,4,,1,,5,,5,,5,,5,,2,,,5f6c4ed6-c510-4da5-9460-fbb1c83e1339
35-49,femme,,universitaire,Trois-Rivières,,res_moderate,maison_uni,oui,4,2,2,4,2.0,4,4,5,5,4,2,5,4,5,5,1,3,4,4,4,4,4,5.0,5,3,4,3,,1,,1,,1,,5,,5,,3,,,4f0a4325-16f9-4feb-afc0-de3dd9f9f092
,femme,,collegial,Trois-Rivières,,centre_dense,app_petit,non,4,4,4,4,4.0,5,5,5,4,4,4,4,2,5,4,4,2,4,4,4,4,4,,4,4,4,4,,4,,4,,2,,4,,4,,4,,,61ff320f-2e35-48cd-a4f4-1792530c6f2e
18-24,femme,,universitaire,autre,Drummondville,res_moderate,app_petit,oui,5,5,3,3,1.0,4,4,4,5,5,3,5,4,5,5,4,4,5,5,3,5,5,5.0,5,5,4,4,,4,,3,,4,,5,,5,,2,,,515b56aa-d143-4344-bffc-a3d98911f66b
25-34,femme,,universitaire,Trois-Rivières,,res_moderate,app_petit,non,4,4,4,2,2.0,4,4,5,5,4,5,4,4,5,5,2,5,5,4,3,3,5,2.0,5,4,4,4,,1,,1,,4,,4,,5,,4,,,aeafe93e-1fa5-4a57-994c-1fa7a5cbf7ac
18-24,femme,,universitaire,Trois-Rivières,,urbain_dense,app_petit,non,5,3,3,4,4.0,3,5,3,5,5,3,3,3,5,5,3,3,5,3,4,3,2,3.0,2,3,5,5,,1,,1,,3,,3,,5,,5,,,2a146485-8411-419c-8539-b0e7eded3e5a
